date,close
2025-01-02,101.78
2025-01-03,100.92
2025-01-06,99.58
2025-01-07,100.5
2025-01-08,100.05
2025-01-09,99.71
2025-01-10,99.75
2025-01-13,101.56
2025-01-14,102.19
2025-01-15,102.83
2025-01-16,104.04
2025-01-17,105.99
2025-01-20,106.79
2025-01-21,105.39
2025-01-22,105.5
2025-01-23,105.71
2025-01-24,104.96
2025-01-27,106.32
2025-01-28,108.14
2025-01-29,108.06
2025-01-30,108.65
2025-01-31,109.23
2025-02-03,110.06
2025-02-04,110.45
2025-02-05,110.65
2025-02-06,111.2
2025-02-07,111.51
2025-02-10,113.25
2025-02-11,112.99
2025-02-12,113.13
2025-02-13,112.04
2025-02-14,114.85
2025-02-17,115.31
2025-02-18,116.01
2025-02-19,115.92
2025-02-20,116.33
2025-02-21,115.04
2025-02-24,116.06
2025-02-25,118.07
2025-02-26,118.06
2025-02-27,118.41
2025-02-28,118.83
2025-03-03,119.0
2025-03-04,120.27
2025-03-05,119.5
2025-03-06,119.65
2025-03-07,118.87
2025-03-10,120.31
2025-03-11,121.67
2025-03-12,121.82
2025-03-13,123.82
2025-03-14,124.75
2025-03-17,123.24
2025-03-18,123.34
2025-03-19,123.67
2025-03-20,124.3
2025-03-21,125.52
2025-03-24,127.37
2025-03-25,127.17
2025-03-26,127.36
2025-03-27,127.81
2025-03-28,127.78
2025-03-31,129.27
2025-04-01,129.05
2025-04-02,129.35
2025-04-03,130.87
2025-04-04,130.07
2025-04-07,131.12
2025-04-08,129.7
2025-04-09,131.79
2025-04-10,132.34
2025-04-11,132.47
2025-04-14,131.32
2025-04-15,130.44
2025-04-16,128.68
2025-04-17,130.08
2025-04-18,129.53
2025-04-21,130.34
2025-04-22,131.03
2025-04-23,130.7
2025-04-24,129.72
2025-04-25,128.99
2025-04-28,127.55
2025-04-29,128.31
2025-04-30,127.84
2025-05-01,128.61
2025-05-02,128.04
2025-05-05,127.6
2025-05-06,128.1
2025-05-07,130.05
2025-05-08,130.78
2025-05-09,128.08
2025-05-12,124.46
2025-05-13,123.17
2025-05-14,123.62
2025-05-15,122.55
2025-05-16,122.46
2025-05-19,122.57
2025-05-20,124.64
2025-05-21,121.59
2025-05-22,120.81
2025-05-23,122.18
2025-05-26,120.32
2025-05-27,118.7
2025-05-28,120.92
2025-05-29,121.33
2025-05-30,121.89
2025-06-02,120.31
2025-06-03,120.82
2025-06-04,118.82
2025-06-05,118.63
2025-06-06,118.22
2025-06-09,117.74
2025-06-10,118.68
2025-06-11,118.85
2025-06-12,120.24
2025-06-13,120.11
2025-06-16,120.97
2025-06-17,122.46
2025-06-18,121.87
2025-06-19,120.53
2025-06-20,120.86
2025-06-23,118.43
2025-06-24,116.36
2025-06-25,115.06
2025-06-26,116.05
2025-06-27,116.7
2025-06-30,117.52
2025-07-01,118.11
2025-07-02,117.22
2025-07-03,117.36
2025-07-04,116.1
2025-07-07,116.72
2025-07-08,117.6
2025-07-09,117.41
2025-07-10,118.08
2025-07-11,119.96
2025-07-14,119.52
2025-07-15,119.5
2025-07-16,119.98
2025-07-17,119.31
2025-07-18,117.79
2025-07-21,116.43
2025-07-22,116.75
2025-07-23,116.05
2025-07-24,118.1
2025-07-25,116.31
2025-07-28,117.8
2025-07-29,117.86
2025-07-30,118.09
2025-07-31,118.47
2025-08-01,117.61
2025-08-04,116.84
2025-08-05,117.58
2025-08-06,116.55
2025-08-07,116.99
2025-08-08,115.79
2025-08-11,113.35
2025-08-12,113.06
2025-08-13,114.1
2025-08-14,112.63
2025-08-15,113.33
2025-08-18,112.68
2025-08-19,114.09
2025-08-20,112.68
2025-08-21,112.74
2025-08-22,113.07
2025-08-25,114.56
2025-08-26,115.93
2025-08-27,115.07
2025-08-28,114.86
2025-08-29,116.69
2025-09-01,117.35
2025-09-02,119.17
2025-09-03,118.45
2025-09-04,118.76
2025-09-05,119.46
2025-09-08,119.01
2025-09-09,119.85
2025-09-10,119.85
2025-09-11,120.53
2025-09-12,121.02
2025-09-15,119.31
2025-09-16,118.93
2025-09-17,121.13
2025-09-18,122.49
2025-09-19,124.84
2025-09-22,125.83
2025-09-23,125.25
2025-09-24,125.83
2025-09-25,125.48
2025-09-26,123.38
2025-09-29,124.09
2025-09-30,124.29
2025-10-01,124.7
2025-10-02,123.88
2025-10-03,123.01
2025-10-06,122.61
2025-10-07,122.44
2025-10-08,122.75
2025-10-09,121.89
2025-10-10,122.36
2025-10-13,121.38
2025-10-14,120.8
2025-10-15,122.06
